季,比賽日期,效力球隊,對手,攻擊,攻擊%,攔網,攔網%,發球,發球%,接發球,接發球%,防守,防守%,舉球,舉球%,得分,player_id,球員姓名,球員背號,球隊,賽事類型,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,攻擊_z,攔網_z,發球_z,接發球_z,防守_z,舉球_z,得分_z,max_z,is_anomaly,anomaly_type
企17,2021-12-12 17:00:00,中國人纖,義力營造,0 - 0,0.0,0 - 0,0.0,2 - 6,33.33,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,2,6,0,0,0,0,0,0,-1.6451874501913184,-0.8754966334585552,3.492366844184747,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,-1.035201576147411,3.492366844184747,True,exceptional
企17,2022-01-15 12:00:00,中國人纖,義力營造,1 - 2,50.0,1 - 3,33.33,1 - 3,33.33,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,1,2,1,3,1,3,0,0,0,1,0,0,0.8261471034268074,1.1525500321075453,3.492366844184747,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,-0.7977896444276534,3.492366844184747,True,exceptional
企17,2022-02-12 18:00:00,中國人纖,義力營造,1 - 1,100.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,1,0,1,0,1,0,0,0,0,0,0,3.297481657044933,-0.8754966334585552,-0.5767505946787177,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,-1.2726135078671683,3.297481657044933,True,exceptional
企17,2022-02-20 15:00:00,中國人纖,義力營造,2 - 4,50.0,1 - 7,14.29,1 - 3,33.33,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,4,108,胡曉佩,1,高雄台電,例行賽,2,4,1,7,1,3,0,0,0,0,0,0,0.8261471034268074,-0.005986076874709657,3.492366844184747,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,-0.5603777127078959,3.492366844184747,True,exceptional
企18,2022-11-27 13:00:00,高雄台電,極速超跑,5 - 7,71.43,5 - 13,38.46,0 - 10,0.0,1 - 1,100.0,0 - 2,0.0,0 - 0,0.0,10,108,胡曉佩,1,高雄台電,例行賽,5,7,5,13,0,10,1,1,0,2,0,0,1.8853610931075364,1.4646976286978273,-0.5767505946787177,2.736313262875625,-0.786006590936126,-0.0949157995752499,0.8640938776106488,2.736313262875625,True,exceptional
企18,2022-12-11 15:00:00,高雄台電,義力營造,1 - 14,7.14,4 - 14,28.57,4 - 14,28.57,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,1,14,4,14,4,14,0,0,0,4,0,0,-1.29228087593465,0.8629160048619815,2.9112387611067367,-0.5181065691716912,-0.786006590936126,-0.0949157995752499,0.6266819458908913,2.9112387611067367,True,exceptional
企18,2022-12-11 15:00:00,愛山林,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,1 - 1,100.0,9 - 30,30.0,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,1,1,9,30,-0.4380099906873644,-0.12717453173571636,-0.29612821842184694,0.0,3.005759710709403,0.51263634129859,-0.5138681637196025,3.005759710709403,True,exceptional
企18,2022-12-17 14:00:00,愛山林,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,9 - 11,81.82,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,1,0,0,0,1,9,11,-0.4380099906873644,-0.12717453173571636,-0.29612821842184694,0.0,-0.7423203259602217,3.628998735716727,-0.5138681637196025,3.628998735716727,True,exceptional
企18,2022-12-31 16:00:00,高雄台電,極速超跑,4 - 19,21.05,2 - 15,13.33,3 - 14,21.43,0 - 3,0.0,1 - 11,9.09,0 - 0,0.0,9,108,胡曉佩,1,高雄台電,例行賽,4,19,2,15,3,14,0,3,1,11,0,0,-0.6047556031180874,-0.06439966220154597,2.0395466364897206,-0.5181065691716912,-0.35868832452055976,-0.0949157995752499,0.6266819458908913,2.0395466364897206,True,exceptional
企18,2023-01-08 15:00:00,愛山林,新北中纖,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,2 - 2,100.0,2 - 11,18.18,0,146,江辰翊,1,義力營造,例行賽,0,0,0,0,0,4,0,0,2,2,2,11,-0.4380099906873644,-0.12717453173571636,-0.29612821842184694,0.0,3.005759710709403,-0.198197381241402,-0.5138681637196025,3.005759710709403,True,exceptional
