季,比賽日期,效力球隊,對手,攻擊,攻擊%,攔網,攔網%,發球,發球%,接發球,接發球%,防守,防守%,舉球,舉球%,得分,player_id,球員姓名,球員背號,球隊,賽事類型,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數
企17,2021-10-31 13:00:00,中國人纖,臺北鯨華,3 - 14,21.43,3 - 13,23.08,0 - 11,0.0,2 - 5,40.0,1 - 11,9.09,0 - 1,0.0,6,108,胡曉佩,1,高雄台電,例行賽,3,14,3,13,0,11,2,5,1,11,0,1
企17,2021-11-13 16:30:00,中國人纖,極速超跑,3 - 10,30.0,2 - 12,16.67,0 - 9,0.0,0 - 0,0.0,0 - 11,0.0,0 - 0,0.0,5,108,胡曉佩,1,高雄台電,例行賽,3,10,2,12,0,9,0,0,0,11,0,0
企17,2021-11-20 12:00:00,中國人纖,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2021-11-21 13:00:00,中國人纖,臺北鯨華,1 - 6,16.67,0 - 1,0.0,1 - 5,20.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,1,6,0,1,1,5,0,0,0,3,0,0
企17,2021-11-27 18:00:00,中國人纖,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2021-11-28 17:00:00,中國人纖,高雄台電,0 - 0,0.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,1,0,1,0,0,0,3,0,0
企17,2021-12-11 16:00:00,中國人纖,臺北鯨華,1 - 3,33.33,0 - 4,0.0,0 - 1,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,3,0,4,0,1,0,0,0,1,0,0
企17,2021-12-12 17:00:00,中國人纖,義力營造,0 - 0,0.0,0 - 0,0.0,2 - 6,33.33,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,2,6,0,0,0,0,0,0
企17,2022-01-08 18:00:00,中國人纖,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 4,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,4,0,0,0,1,0,0
企17,2022-01-09 15:00:00,中國人纖,高雄台電,1 - 4,25.0,0 - 4,0.0,0 - 3,0.0,0 - 0,0.0,0 - 2,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,4,0,4,0,3,0,0,0,2,0,0
企17,2022-01-15 12:00:00,中國人纖,義力營造,1 - 2,50.0,1 - 3,33.33,1 - 3,33.33,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,1,2,1,3,1,3,0,0,0,1,0,0
企17,2022-01-16 11:00:00,中國人纖,極速超跑,0 - 0,0.0,0 - 0,0.0,0 - 2,0.0,0 - 0,0.0,0 - 1,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,2,0,0,0,1,0,0
企17,2022-01-22 16:00:00,中國人纖,臺北鯨華,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2022-01-23 17:00:00,中國人纖,極速超跑,2 - 3,66.67,0 - 1,0.0,0 - 3,0.0,0 - 1,0.0,0 - 3,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,3,0,1,0,3,0,1,0,3,0,0
企17,2022-02-12 18:00:00,中國人纖,義力營造,1 - 1,100.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,1,108,胡曉佩,1,高雄台電,例行賽,1,1,0,1,0,1,0,0,0,0,0,0
企17,2022-02-13 17:00:00,中國人纖,義力營造,2 - 4,50.0,0 - 5,0.0,0 - 4,0.0,0 - 0,0.0,0 - 5,0.0,0 - 0,0.0,2,108,胡曉佩,1,高雄台電,例行賽,2,4,0,5,0,4,0,0,0,5,0,0
企17,2022-02-19 16:00:00,中國人纖,極速超跑,3 - 7,42.86,0 - 1,0.0,0 - 3,0.0,0 - 0,0.0,0 - 3,0.0,0 - 0,0.0,3,108,胡曉佩,1,高雄台電,例行賽,3,7,0,1,0,3,0,0,0,3,0,0
企17,2022-02-20 15:00:00,中國人纖,義力營造,2 - 4,50.0,1 - 7,14.29,1 - 3,33.33,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,4,108,胡曉佩,1,高雄台電,例行賽,2,4,1,7,1,3,0,0,0,0,0,0
企17,2022-02-26 14:00:00,中國人纖,高雄台電,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,0,0,0,0,0,0,0,0,0,0,0
企17,2022-02-27 13:00:00,中國人纖,高雄台電,0 - 1,0.0,0 - 1,0.0,0 - 1,0.0,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0,0,108,胡曉佩,1,高雄台電,例行賽,0,1,0,1,0,1,0,0,0,0,0,0
