player_id,球員背號,球員姓名,球隊,出賽場次,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,得分,攻擊%,攔網%,發球%,接發球%,防守%,舉球%,攻擊%_z,攔網%_z,發球%_z,接發球%_z,防守%_z,舉球%_z,得分_z,MVP_score,MVP_rank
177,7,林書荷,臺北鯨華,97,1241,3405,103,561,58,1223,800,1793,548,1704,0,8,1402,36.45,18.36,4.74,44.62,32.16,0.0,0.3321344012255685,0.3991361584294942,0.26314635274192705,0.45498610220590013,0.4271732055763719,-0.6971983521815464,3.1659323514485203,100.0,1
39,13,許菀芸,高雄台電,112,538,1625,16,220,47,691,692,1283,673,1425,0,1,602,33.11,7.27,6.8,53.94,47.23,0.0,0.08968463615215586,-0.7581518560952416,1.0652397978443235,0.9550796297465256,1.708666248544644,-0.6971983521815464,0.8993663187542388,95.4,2
45,20,黃瀞萱,高雄台電,90,712,1958,103,468,48,855,46,104,320,1075,0,2,863,36.36,22.01,5.61,44.23,29.77,0.0,0.3256013237235901,0.7800289675381766,0.6018945552851722,0.4340594417186851,0.22393708263714387,-0.6971983521815464,1.6388334869207482,95.0,3
150,12,馬德蓉,義力營造,44,90,242,53,207,18,249,7,21,21,85,1,5,161,37.19,25.6,7.23,33.33,24.71,20.0,0.38585081624183315,1.1546605249902777,1.232667070365698,-0.1508138898470678,-0.20634525295804226,0.08781792368395386,-0.35007820676848395,86.0,4
52,9,甘可慧,臺北鯨華,121,1226,3058,198,1493,44,1405,21,62,169,818,0,2,1468,40.09,13.26,3.13,33.87,20.66,0.0,0.5963610913055748,-0.13307023237989735,-0.36373250483810154,-0.12183851378784707,-0.5507411935035965,-0.6971983521815464,3.3529240491457983,80.0,5
32,12,彭𦀡媃,高雄台電,35,336,998,10,103,18,382,300,543,139,418,1,11,364,33.67,9.71,4.71,55.25,33.25,9.09,0.1303348961644647,-0.5035276220609443,0.25146538024043574,1.0253717457420428,0.5198624834022127,-0.3404084548006765,0.22506292402769,77.4,6
59,1,林良黛,臺北鯨華,72,441,1409,24,205,29,672,516,1077,240,695,2,7,494,31.3,11.71,4.32,47.91,34.53,28.57,-0.0417028113876274,-0.29481923350824174,0.09961273772105007,0.6315212637518934,0.6287086078215485,0.4241973978923207,0.5933799043405107,77.2,7
97,16,江昀庭,義力營造,85,7,36,1,9,2,16,344,781,383,1206,0,8,10,19.44,11.11,12.5,44.05,31.76,0.0,-0.9026172466483072,-0.35743175007405265,3.284624573127654,0.4244009830322782,0.39315879169532997,-0.6971983521815464,-0.7778925454395296,76.8,8
37,7,黃芯瑜,高雄台電,105,517,1257,173,949,30,842,43,102,72,389,0,5,720,41.13,18.23,3.56,42.16,18.51,0.0,0.6718544313284337,0.38557011317356865,-0.19630523231672742,0.3229871668250054,-0.7335686681141993,-0.6971983521815464,1.2336848085766452,76.8,8
44,16,包茵綺,高雄台電,55,142,415,49,275,14,332,14,35,37,160,1,1,205,34.22,17.82,4.22,40.0,23.12,100.0,0.17025925867655334,0.3427848935202646,0.06067616271607916,0.2070856625881224,-0.34155254813518576,3.2278830271459547,-0.22541707497029848,76.7,10
108,1,胡曉佩,高雄台電,111,493,1369,154,973,59,1119,44,130,127,581,1,7,706,36.01,15.83,5.27,33.85,21.86,14.29,0.30019491121589703,0.1351200469103255,0.46951020026827156,-0.1229116758641143,-0.4486979518604694,-0.1363042230756465,1.1940199030044953,74.9,11
141,9,陳薏,義力營造,44,287,933,13,113,18,299,341,729,129,381,0,3,318,30.76,11.5,6.02,46.78,33.86,0.0,-0.0809012763994964,-0.3167336143062756,0.7615345128055518,0.5708876064427835,0.5717344645708023,-0.6971983521815464,0.09473537714776879,74.9,11
111,19,劉美菁,臺北鯨華,88,701,1653,163,952,30,865,22,86,108,583,0,6,894,42.41,17.12,3.47,25.58,18.52,0.0,0.7647693113565673,0.26973695752681875,-0.231348149821201,-0.5666641944006995,-0.7327183077671734,-0.6971983521815464,1.7266629206876514,71.7,13
114,11,張稦豈,新北中纖,87,740,2036,65,358,27,669,116,391,141,656,0,4,832,36.35,18.16,4.04,29.67,21.49,0.0,0.3248754262233704,0.378265319574224,-0.00940967229286801,-0.34720254980400855,-0.48016128470043373,-0.6971983521815464,1.5510040531538447,71.2,14
73,21,葉于雯,新北中纖,109,549,1339,125,936,36,1132,27,70,111,544,0,3,710,41.0,13.35,3.18,38.57,20.4,0.0,0.6624177638255762,-0.12367835489502574,-0.3442642173356161,0.1303545741350007,-0.5728505625262742,-0.6971983521815464,1.2053527331679668,70.1,15
96,8,洪詩涵,高雄台電,71,433,1330,31,177,26,413,144,415,76,484,0,2,490,32.56,17.51,6.3,34.7,15.7,0.0,0.0497602736400672,0.31043509329459584,0.87055692281947,-0.07730228762274817,-0.9725199256285223,-0.6971983521815464,0.5820470741770393,66.4,16
50,13,陳潔,臺北鯨華,121,421,1319,18,284,27,761,363,814,299,865,0,3,466,31.92,6.34,3.55,44.59,34.57,0.0,0.003302833626000118,-0.8552012567722482,-0.20019888981722458,0.4533763590914993,0.6321100492096526,-0.6971983521815464,0.5140500931962109,64.3,17
147,19,林璽,高雄台電,44,7,34,1,8,0,7,255,479,288,631,1,1,8,20.59,12.5,0.0,53.24,45.64,100.0,-0.8191390341230307,-0.2123794200299243,-1.5824473024936847,0.9175189570771656,1.5734589533675007,3.2278830271459547,-0.7835589605212653,61.9,18
192,4,林采臻,高雄台電,43,157,425,29,183,15,317,8,29,26,124,0,2,201,36.94,15.85,4.73,27.59,20.97,0.0,0.3677033787363382,0.13720713079585248,0.25925269524143,-0.4588114057358221,-0.5243800227457888,-0.6971983521815464,-0.23674990513376987,59.6,19
42,2,劉玉淳,高雄台電,79,74,181,21,229,21,369,2,12,108,466,639,3266,116,40.88,9.17,5.69,16.67,23.18,19.57,0.6537069938229387,-0.5598788869701741,0.6330438152891489,-1.0447578993778424,-0.3364503860530295,0.07094007375284561,-0.4775725461075373,58.2,20
69,19,陳亭汝,新北中纖,109,71,174,51,534,38,1233,4,21,317,1617,2299,9425,160,40.8,9.55,3.08,19.05,19.6,24.39,0.64789981382118,-0.5202242931451605,-0.3832007923405868,-0.9170516123020175,-0.6408793902883587,0.26012899623643115,-0.3529114143093518,48.7,21
49,14,陳莉鈞,臺北鯨華,100,162,517,4,96,6,225,115,305,89,271,0,6,172,31.33,4.17,2.67,37.7,32.84,0.0,-0.039525118886968184,-1.0816498583519305,-0.5428407498609668,0.08367202381736734,0.4849977091741446,-0.6971983521815464,-0.3189129238189376,48.4,22
