player_id,球員背號,球員姓名,出賽場次,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,得分,攻擊%,攔網%,發球%,接發球%,防守%,舉球%
32,12,彭𦀡媃,35,336,998,10,103,18,382,300,543,139,418,1,11,364,33.67,9.71,4.71,55.25,33.25,9.09
34,17,陳思妤,63,215,719,7,79,7,208,142,406,61,238,0,1,229,29.9,8.86,3.37,34.98,25.63,0.0
37,7,黃芯瑜,105,517,1257,173,949,30,842,43,102,72,389,0,5,720,41.13,18.23,3.56,42.16,18.51,0.0
38,9,蔡幼群,115,1212,3443,67,564,71,1319,867,1824,433,1427,0,0,1350,35.2,11.88,5.38,47.53,30.34,
39,13,許菀芸,112,538,1625,16,220,47,691,692,1283,673,1425,0,1,602,33.11,7.27,6.8,53.94,47.23,0.0
42,2,劉玉淳,79,74,181,21,229,21,369,2,12,108,466,639,3266,116,40.88,9.17,5.69,16.67,23.18,19.57
43,14,許惠瑩,101,129,373,4,48,12,180,93,265,52,154,0,0,145,34.58,8.33,6.67,35.09,33.77,
44,16,包茵綺,55,142,415,49,275,14,332,14,35,37,160,1,1,205,34.22,17.82,4.22,40.0,23.12,100.0
45,20,黃瀞萱,90,712,1958,103,468,48,855,46,104,320,1075,0,2,863,36.36,22.01,5.61,44.23,29.77,0.0
46,22,李怡萱,94,0,0,0,0,0,2,865,1442,864,1577,0,0,0,,,0.0,59.99,54.79,
47,4,陳莉鎔,113,42,113,18,205,11,377,0,0,90,379,866,3045,71,37.17,8.78,2.92,,23.75,28.44
48,17,劉雙菱,69,492,1461,40,250,20,477,224,594,234,588,0,0,552,33.68,16.0,4.19,37.71,39.8,
49,14,陳莉鈞,100,162,517,4,96,6,225,115,305,89,271,0,6,172,31.33,4.17,2.67,37.7,32.84,0.0
50,13,陳潔,121,421,1319,18,284,27,761,363,814,299,865,0,3,466,31.92,6.34,3.55,44.59,34.57,0.0
52,9,甘可慧,121,1226,3058,198,1493,44,1405,21,62,169,818,0,2,1468,40.09,13.26,3.13,33.87,20.66,0.0
53,6,翁梓勻,72,172,479,31,324,23,496,10,23,49,167,0,0,226,35.91,9.57,4.64,43.48,29.34,
54,12,廖苡任,99,70,250,24,538,38,1170,2,20,238,1398,2644,10041,132,28.0,4.46,3.25,10.0,17.02,26.33
57,18,邱詩晴,96,1,1,0,2,0,2,371,753,686,1420,0,0,1,100.0,0.0,0.0,49.27,48.31,
58,15,許恆芸,42,154,518,15,124,14,217,19,54,65,221,0,0,183,29.73,12.1,6.45,35.19,29.41,
59,1,林良黛,72,441,1409,24,205,29,672,516,1077,240,695,2,7,494,31.3,11.71,4.32,47.91,34.53,28.57
61,2,張瓈文,44,604,1709,59,294,20,457,8,28,154,475,0,0,683,35.34,20.07,4.38,28.57,32.42,
62,9,陳妘臻,44,1,16,3,26,6,140,0,1,20,147,239,775,10,6.25,11.54,4.29,0.0,13.61,30.84
67,4,陽孟娟,22,14,69,2,21,0,31,14,45,13,39,0,0,16,20.29,9.52,0.0,31.11,33.33,
69,19,陳亭汝,109,71,174,51,534,38,1233,4,21,317,1617,2299,9425,160,40.8,9.55,3.08,19.05,19.6,24.39
72,22,陳彥臻,65,0,1,0,0,0,1,139,290,297,635,0,0,0,0.0,,0.0,47.93,46.77,
73,21,葉于雯,109,549,1339,125,936,36,1132,27,70,111,544,0,3,710,41.0,13.35,3.18,38.57,20.4,0.0
96,8,洪詩涵,71,433,1330,31,177,26,413,144,415,76,484,0,2,490,32.56,17.51,6.3,34.7,15.7,0.0
97,16,江昀庭,85,7,36,1,9,2,16,344,781,383,1206,0,8,10,19.44,11.11,12.5,44.05,31.76,0.0
103,15,李子嫣,96,100,292,10,150,12,268,7,37,18,145,0,0,122,34.25,6.67,4.48,18.92,12.41,
108,1,胡曉佩,111,493,1369,154,973,59,1119,44,130,127,581,1,7,706,36.01,15.83,5.27,33.85,21.86,14.29
109,20,池長璇,34,54,182,6,27,2,64,5,33,13,52,0,1,62,29.67,22.22,3.12,15.15,25.0,0.0
110,11,洪家瑤,111,40,132,69,503,36,817,0,18,146,1066,2054,7871,145,30.3,13.72,4.41,0.0,13.7,26.1
111,19,劉美菁,88,701,1653,163,952,30,865,22,86,108,583,0,6,894,42.41,17.12,3.47,25.58,18.52,0.0
114,11,張稦豈,87,740,2036,65,358,27,669,116,391,141,656,0,4,832,36.35,18.16,4.04,29.67,21.49,0.0
115,12,張筱玉,27,0,4,0,1,0,0,1,1,0,1,0,2,0,0.0,0.0,,100.0,0.0,0.0
138,2,邱凡綺,34,88,313,7,51,5,112,137,330,51,156,0,0,100,28.12,13.73,4.46,41.52,32.69,
139,3,曾予柔,44,75,265,2,30,8,127,4,13,37,104,0,0,85,28.3,6.67,6.3,30.77,35.58,
140,4,簡翊雯,61,328,1063,35,205,20,368,105,308,128,466,0,0,383,30.86,17.07,5.43,34.09,27.47,
141,9,陳薏,44,287,933,13,113,18,299,341,729,129,381,0,3,318,30.76,11.5,6.02,46.78,33.86,0.0
142,6,陳品宇,42,401,1200,17,121,27,433,337,604,145,420,0,0,445,33.42,14.05,6.24,55.79,34.52,
143,7,吳紫華,44,235,611,19,145,33,336,8,23,36,142,0,0,287,38.46,13.1,9.82,34.78,25.35,
144,10,張庭瑋,44,19,50,4,95,17,339,0,3,63,289,870,2689,40,38.0,4.21,5.01,0.0,21.8,32.35
146,1,江辰翊,86,20,69,2,59,9,409,0,3,100,506,959,3652,31,28.99,3.39,2.2,0.0,19.76,26.26
147,19,林璽,44,7,34,1,8,0,7,255,479,288,631,1,1,8,20.59,12.5,0.0,53.24,45.64,100.0
149,17,盧佳玟,44,179,504,31,225,14,302,7,16,38,161,0,0,224,35.52,13.78,4.64,43.75,23.6,
150,12,馬德蓉,44,90,242,53,207,18,249,7,21,21,85,1,5,161,37.19,25.6,7.23,33.33,24.71,20.0
161,33,許甄軒,34,378,1066,28,99,17,320,372,769,106,335,0,0,423,35.46,28.28,5.31,48.37,31.64,
162,8,陳喬恩,34,165,361,84,214,12,262,2,14,15,89,0,0,261,45.71,39.25,4.58,14.29,16.85,
177,7,林書荷,97,1241,3405,103,561,58,1223,800,1793,548,1704,0,8,1402,36.45,18.36,4.74,44.62,32.16,0.0
178,7,Miku Isogai,22,244,709,11,61,11,327,163,389,114,336,0,0,266,34.41,18.03,3.36,41.9,33.93,
192,4,林采臻,43,157,425,29,183,15,317,8,29,26,124,0,2,201,36.94,15.85,4.73,27.59,20.97,0.0
200,5,陳亭伊,4,7,27,1,4,0,15,8,12,6,14,0,0,8,25.93,25.0,0.0,66.67,42.86,
209,10,陳映淳,22,13,29,1,12,2,64,0,1,10,83,210,648,16,44.83,8.33,3.12,0.0,12.05,32.41
210,10,陳芃宣,24,0,1,0,0,0,0,74,172,107,218,3,6,0,0.0,,,43.02,49.08,50.0
212,21,蔡旻軒,8,0,0,0,0,0,2,0,0,0,1,6,17,0,,,0.0,,0.0,35.29
213,25,黃惠婷,16,9,31,7,18,0,26,3,4,1,12,0,0,16,29.03,38.89,0.0,75.0,8.33,
214,6,劉映彤,15,0,0,0,0,1,25,5,21,3,21,0,0,1,,,4.0,23.81,14.29,
215,13,Natthimar Kubkaew,22,167,513,27,53,4,229,168,478,53,199,0,0,198,32.55,50.94,1.75,35.15,26.63,
216,16,范張予馨,22,0,1,0,0,0,0,215,485,78,202,0,0,0,0.0,,,44.33,38.61,
217,17,杜家馨,18,5,18,0,5,0,24,0,2,2,8,0,0,5,27.78,0.0,0.0,0.0,25.0,
218,18,陳妮君,22,33,115,4,15,7,70,55,130,19,59,0,0,44,28.7,26.67,10.0,42.31,32.2,
219,13,周竩涵,22,78,213,5,22,5,95,14,31,23,84,0,0,88,36.62,22.73,5.26,45.16,27.38,
220,14,宋湘薰,8,2,8,0,0,0,7,4,14,0,4,0,0,2,25.0,,0.0,28.57,0.0,
221,18,何承樺,22,0,0,0,0,0,0,119,242,82,189,0,0,0,,,,49.17,43.39,
